,M9,M11,M17,M3,M15,M27,costs
brown,1.0,0.0,0.0,0.0,0.0,0.0,0.0
convex,1.0,0.0,2.0,1.0,1.0,0.0,0.0
fibrous,1.0,1.0,2.0,0.0,0.0,1.0,0.0
edible,1.0,1.0,2.0,1.0,1.0,1.0,0.0
free,1.0,1.0,2.0,1.0,1.0,1.0,0.0
crowded,1.0,1.0,2.0,1.0,1.0,1.0,0.0
grasses,1.0,1.0,0.0,1.0,0.0,1.0,0.0
white,0.0,1.0,0.0,0.0,0.0,0.0,0.0
flat,0.0,1.0,0.0,0.0,0.0,1.0,0.0
yellow,0.0,0.0,2.0,0.0,1.0,0.0,0.0
woods,0.0,0.0,2.0,0.0,1.0,0.0,0.0
gray,0.0,0.0,0.0,1.0,0.0,1.0,0.0
smooth,0.0,0.0,0.0,1.0,1.0,0.0,0.0
prior,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,
alpha,4.0, , , , , , 
